,age,gender,COB,hours_work,social_media_use,rent,friends_count,stress_level,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_usea,drug_useb,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest _1,mark_goal,hours_studying,lecture_mode,study_type,learner_style
0,20.0,Female,Singapore,0.0,10.15,378.0,5.0,7.0,100.0,Single,3.0,1.0,8.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,3.0,3.0,80.0,2.0,Lecture Slides,I leave things to the last minute,Style 2
1,18.0,Female,Indonesia,0.0,3.47,549.0,15.0,2.0,120.0,Single,0.0,0.0,15.0,Have you ever used recreational drugs,No,,No,International,DATA1901,0.0,10.0,7.0,70.0,5.0,I,I work steadily all semester,Style 3
2,20.0,Female,China,160.0,1.12,0.0,2.0,5.0,130.0,Its complicated,2.0,0.0,10.0,Have you ever gotten high off illicit drugs?,,No,No,Domestic,DATA1001,4.0,75.0,4.0,85.0,5.0,Lecture Slides,I work steadily all semester,Style 3
3,19.0,Male,Australia,1.0,23.99,0.0,0.0,0.0,200.0,Married,50.0,8.0,0.0,Have you ever used recreational drugs,Yes,,Yes,Domestic,DATA1901,20.0,1.0,0.0,100.0,60.0,Lecture Slides,I leave things to the last minute,Style 3
4,18.0,Male,Vietnam,0.0,1.0,300.0,6.0,3.0,120.0,Single,0.0,4.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,90.0,7.0,85.0,4.0,I,I work steadily all semester,Style 1
5,20.0,Male,USA,0.0,4.0,0.0,3.0,6.0,160.0,Single,3.0,12.0,4.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,International,DATA1001,4.0,9.0,7.0,95.0,4.0,I,I work steadily all semester,Style 2
6,18.0,Female,Australia,15.0,5.5,0.0,15.0,7.0,120.0,Single,0.0,0.0,30.0,Have you ever used recreational drugs,No,,No,Domestic,DATA1001,0.0,20.0,5.0,80.0,3.0,Recording,It changes depending on the subject,Style 3
7,21.0,Male,China,21.0,3.0,860.0,5.0,5.0,110.0,In a relationship,4.0,0.0,10.0,Have you ever used recreational drugs,No,,No,International,DATA1001,4.0,45.0,7.0,95.0,8.0,Recording,I work steadily all semester,Style 1
8,19.0,Male,NZ,0.0,3.0,650.0,5.0,0.0,120.0,Single,0.0,12.0,8.0,Have you ever gotten high off illicit drugs?,,Yes,Yes,Domestic,DATA1001,3.0,20.0,2.0,90.0,2.0,Recording,It changes depending on the subject,Style 1
9,20.0,Male,South Korea,0.0,2.0,0.0,0.0,5.0,60.0,Single,1.0,1.0,4.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,20.0,5.0,80.0,7.0,I,It changes depending on the subject,Style 3
10,19.0,Male,China,5.0,4.21,0.0,15.0,2.0,150.0,In a relationship,5.0,30.0,6.0,Have you ever used recreational drugs,No,,No,International,DATA1001,1.0,15.0,4.0,90.0,5.0,Recording,It changes depending on the subject,Style 1
11,18.0,Male,Vietnam,10.0,6.0,759.0,1.0,1.0,100.0,Single,0.0,1.0,5.0,Have you ever gotten high off illicit drugs?,,No,No,International,DATA1001,0.0,15.0,10.0,10.0,10.0,I,I work steadily all semester,Style 1
